HU N P u v hel DD mois heure FFp FFo
89.4 1 1021 -3 4.5 30.34 2.16 4 9 5.41 7.5
90.3 1 1025.2 3.4 -6.8 98.5 -1.11 4 9 7.6 10.9
85.9 1 1026 2.3 -3.9 100.71 -1.04 4 15 4.53 9.4
77.2 1 1026 -1 -6.9 35.54 -1.71 4 9 6.97 7.2
84.5 1 1027.7 -2 -4.7 35.19 -1.97 4 0 5.11 9.5
87.5 1 1025.5 1.1 -4.1 79.33 -1.31 4 15 4.24 5.6
49 1 1022.5 -1.6 -4.9 -2.6 -1.89 4 12 5.15 7
72.4 1 1019.8 -3.2 -6.6 -33.62 -2.02 4 21 7.33 11.4
48.8 1 1015.8 0.6 -10.4 6.45 -1.51 4 15 10.42 14.9
53.3 1 1013 -6.3 -6.4 9.69 -2.35 4 0 8.98 10.7
79.7 1 1011.8 0.4 -2.1 -10.9 -1.38 4 15 2.14 6
47.2 1 1011.6 4.9 4.1 12.73 0.7 4 15 6.39 7.8
53.8 1 1012 3.8 1.4 18.51 0.35 4 18 4.05 8.4
45.3 4 1010.4 4.3 0.5 7.32 0.12 4 15 4.33 13
90.6 1 1012.8 -0.2 -2.4 5.21 -1.65 4 15 2.41 4.4
79.4 1 1014.2 -2.3 -3.1 26.07 -2.21 4 0 3.86 13.6
88 1 1017.3 -0.5 -3.9 48.7 -1.7 4 15 3.93 8.3
55.9 1 1014.1 -0.3 3.5 14.85 1.66 4 18 3.51 7.9
70.6 1 1015.5 -1.2 -1.7 3.12 -2.19 4 0 2.08 5
79.1 1 1015.2 -1.8 -1.9 69.45 -2.33 4 15 2.62 4
59.5 1 1015.3 -4.7 6.3 66.95 2.21 4 9 7.86 10.2
47.8 1 1014.1 -4.1 9.1 15.65 1.99 4 12 9.98 11.4
31.8 1 1013.2 6.7 -0.7 5.23 -0.11 4 15 6.74 10.7
41.9 1 1013.7 5.4 -0.3 2.63 -0.06 4 18 5.41 9.9
68.7 1 1016.3 2.4 -3.4 -49.44 -0.96 4 21 4.16 11.7
99.5 1 1018.9 1.4 -1.5 -11.21 -0.82 4 15 2.05 3
84 1 1019.4 3.4 -4 8.63 -0.87 4 9 5.25 4.1
45 1 1014.9 0.2 5 0.5 1.53 4 12 5 8.5
64.2 1 1010.5 -1.1 -1.4 78.35 -2.24 4 15 1.78 4.8
51.5 1 1008.8 -2.8 6.4 26.98 1.98 4 18 6.99 10.3
73.6 1 1007.8 -0.9 -0.3 -21.37 -2.82 4 0 0.95 4.4
71.3 1 1008.9 0.2 0.5 -0.44 1.19 4 0 0.54 4.4
98.3 1 1016.3 2 -0.6 22.61 -0.29 4 15 2.09 4.6
76.6 1 1020.9 0.5 -0.1 1.58 -0.2 4 0 0.51 4
89.9 2 1022.6 -0.2 -1.2 -6.81 -1.74 4 15 1.22 3
64 1 1023.6 2.1 -3.5 4.16 -1.03 4 9 4.08 2.7
68.3 1 1022.6 2.9 -3.4 5.89 -0.86 4 9 4.47 2.7
45.9 1 1022.3 6.4 -4.5 5.81 -0.61 4 12 7.82 7.6
60 1 1024.2 -0.9 -2 11.63 -1.99 4 15 2.19 4.3
82.7 1 1022.3 -4.4 0.6 82.4 3.01 4 0 4.44 8.2
76.3 1 1021.7 -6.1 3 225.13 2.68 4 15 6.8 9
80.4 1 1018 -6 5.3 166.02 2.42 4 21 8.01 12.4
93 2 1016.6 -0.5 1.2 38.8 1.97 4 15 1.3 4
96 5 1017 -0.1 2.9 13.46 1.61 4 9 2.9 3.6
97.5 5 1014.1 -2.4 2.9 6.35 2.26 4 21 3.76 7.1
93.1 1 1012.6 -2 1.7 54.63 2.44 5 15 2.62 6.3
95.9 1 1012.2 3.5 -0.6 -39.46 -0.17 5 15 3.55 8.4
